element,id,contact:website,light_rail,name,network,network:short,official_name,operator,public_transport,railway,railway:ref,railway:station_category,station,uic_ref,wheelchair,wikidata,wikipedia,contact:phone,departures_board,departures_board:speech_output,description,ref,network:wikidata,train,uic_name,loc_name,note,start_date,toilets:wheelchair,subway,image,source,line,atm,atm:operator,operator:short,operator:wikidata,check_date:wheelchair,level,internet_access,surveillance,internet_access:fee,railway:ref:parent,addr:city,addr:housenumber,addr:postcode,addr:street,ref:station,source:address,phone,website,wikimedia_commons,surveillance:type,name:VBB,wheelchair:description,wheelchair:source,old_name,url,not:network:wikidata,layer,site,short_name,alt_name,postal_code,usage,name:ja,platforms,note:old_name,fixme,heritage,heritage:operator,lda:criteria,ref:lda,description:ar,description:de,description:en,description:es,description:fr,description:ja,description:nl,description:ru,iata,name:be,name:de,name:el,name:en,name:es,name:fr,name:hu,name:it,name:nl,tactile_paving,old_name:1958-05-31--1961,old_name:1961--1974-11,old_name:1974-11--2003-01-06,location,description:old_name,source:old_name,internet_access:ssid,shelter,name:ko,name:ru,ref_name,geometry
node,21302157,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/tiergarten/151,yes,Tiergarten,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Tiergarten,DB Netz AG,station,station,BTGN,4,light_rail,8089091,yes,Q572112,de:Bahnhof Berlin-Tiergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3364504 52.5143746)
node,26124376,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/westend/157,yes,Westend,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Westend,DB Netz AG,station,station,BWES,4,light_rail,8089111,yes,Q323214,de:Bahnhof Berlin-Westend,+49 30 297 43333,realtime,no,S Westend Gleis 1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2844201 52.5180135)
node,26603219,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/wannsee/1,yes,Wannsee,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Wannsee S-Bahn,DB Netz AG,station,station,BWSS,2,light_rail,8010405,yes,Q567336,de:Bahnhof Berlin-Wannsee,+49 30 297 43333,,,,,Q315451,yes,Berlin Wannsee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.1798077 52.4214071)
node,26943869,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/pichelsberg/121,yes,Pichelsberg,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Pichelsberg,DB Netz AG,station,station,BPIC,5,light_rail,8089331,yes,Q800488,de:Bahnhof Berlin Pichelsberg,,,,,2,,,Berlin-Pichelsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2276304 52.5101503)
node,27215654,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/grunewald/67,yes,Grunewald,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Grunewald S-Bahn,DB Station&Service AG,station,station,BGWD,4,light_rail,8089062,yes,Q457266,de:Bahnhof Berlin-Grunewald,+49 30 297 43333,,,,,,,Berlin-Grunewald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2610104 52.4882479)
node,27556933,,,Berlin Zoologischer Garten,,,,DB Netz AG;DB Station&Service AG,station,station,BZOO,2,,8010406,yes,Q681785,de:Bahnhof Berlin Zoologischer Garten,,,,,,,yes,,Bahnhof Zoo,"S-Bahn-Bahnhof ist eigenständiger Bahnhof, daher zwei Bahnhöfe hier!",1882-02-07,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3325608 52.5074342)
node,27586255,,,Ruhleben,,,,,station,station,,,subway,,yes,Q656401,de:U-Bahnhof Ruhleben,,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2414191 52.5256744)
node,28830281,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/karow/88,yes,Karow,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Karow S-Bahn,DB Netz AG,station,station,BKRW,4,light_rail,8011046,yes,Q800480,de:Bahnhof Berlin-Karow,+49 30 297 43333,,,,,,yes,Berlin-Karow,,,1882-11-15,,,https://upload.wikimedia.org/wikipedia/commons/7/70/-Bahnhof_Karow_Bahnsteig.jpg,https://de.wikipedia.org/wiki/Bahnhof_Berlin-Karow;https://www.stadtschnellbahn-berlin.de/bahnhof/bahnhof.php?bhf=275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4694647 52.6152148)
node,29045595,,,Amrumer Straße,,,,,station,station,,,subway,,yes,Q557577,de:U-Bahnhof Amrumer Straße,,,,,,,,,,,,,yes,,,U9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3501546 52.5423332)
node,29046450,,,Zoologischer Garten,Verkehrsverbund Berlin-Brandenburg,VBB,,Berliner Verkehrsbetriebe,station,station,,,subway,,yes,,,,,,,,Q315451,yes,,,,,,yes,,,U9,yes,Sparkasse,BVG,Q99633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3330236 52.5058669)
node,29046970,,,Kurfürstendamm,,,,,station,station,,,subway,,yes,Q663933,de:U-Bahnhof Kurfürstendamm,,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3314365 52.5038223)
node,29046976,,,Güntzelstraße,,,,,station,station,,,subway,,no,Q571563,de:U-Bahnhof Güntzelstraße,,,,,,,,,,,,,yes,,,U9,yes,Bankhaus Lenz,,,2022-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3310064 52.4920843)
node,29046979,,,Berliner Straße,,,,,station,station,,,subway,,yes,Q637739,de:U-Bahnhof Berliner Straße,,,,,,,,,,,,,yes,,,U7;U9,yes,Sparkasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3310103 52.4873298)
node,29046999,,,Friedrich-Wilhelm-Platz,,,,,station,station,,,subway,,no,Q559207,de:U-Bahnhof Friedrich-Wilhelm-Platz,,,,,,,,,,,,,yes,,,U9,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3287301 52.4721217)
node,29047043,,,Walther-Schreiber-Platz,,,,,station,station,,,subway,,yes,Q638584,de:U-Bahnhof Walther-Schreiber-Platz,,,,,,,,,,,,,yes,,,U9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3282601 52.4653254)
node,29047045,,,Schloßstraße,,,,Berliner Verkehrsbetriebe,station,station,,,subway,,no,Q554474,de:U-Bahnhof Schloßstraße,,,,,,,,,,,,,yes,,,U9,,,BVG,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3250946 52.461481)
node,29047047,,,Rathaus Steglitz,,,,,station,station,,,subway,,yes,Q555492,de:Bahnhof Berlin Rathaus Steglitz,,,,,,,,,,,,no,yes,,,U9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3209344 52.4567983)
node,29070457,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/beusselstrasse/38,yes,Beusselstraße,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Beusselstraße,DB Netz AG,station,station,BBEU,4,light_rail,8089118,yes,Q323219,de:Bahnhof Berlin Beusselstraße,+49 30 297 43333,,,,,,,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3293873 52.5344077)
node,29123754,,,Theodor-Heuss-Platz,,,,,station,station,,,subway,,yes,Q657857,de:U-Bahnhof Theodor-Heuss-Platz,,,,,,,,,,,,,yes,,,,yes,August Lenz,,,2022-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2722217 52.5099869)
node,29123761,,,Neu-Westend,,,,,station,station,,,subway,,no,Q656431,de:U-Bahnhof Neu-Westend,,,,,,,,,,,,,yes,,,,,,,,2022-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2592357 52.5162154)
node,29123763,,,Deutsche Oper,,,,,station,station,,,subway,,no,Q869501,de:U-Bahnhof Deutsche Oper,,,,,,,,,,,,,yes,,,,,,,,,,,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3105328 52.511837)
node,29123764,,,Ernst-Reuter-Platz,,,,Berliner Verkehrsbetriebe,station,station,,,subway,,no,Q658361,de:U-Bahnhof Ernst-Reuter-Platz,,,,,,,,,,,,,yes,,,,,,BVG,,,,wlan,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3221613 52.5118853)
node,29190897,,,Lindauer Allee,,,,,station,station,,,subway,,yes,Q555939,de:U-Bahnhof Lindauer Allee,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3384251 52.5754161)
node,29494301,,,Jannowitzbrücke,,,,,station,station,,,subway,,yes,Q1647893,de:Bahnhof Berlin Jannowitzbrücke,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4181732 52.5153554)
node,29497638,,,Innsbrucker Platz,,,,,station,station,,,subway,,yes,Q3799011,de:Bahnhof Berlin Innsbrucker Platz,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3436736 52.478987)
node,29803428,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/rummelsburg/130,yes,Rummelsburg,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Rummelsburg (S-Bahn),DB Netz AG,station,station,BRH,4,light_rail,8089084,yes,Q15107132,de:Bahnhof Berlin-Rummelsburg (S-Bahn),,,,,,,,Berlin-Rummelsburg,,,,,,,,,,,,,,,,,,BOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.478367 52.501288)
node,29805967,,,Berlin-Lichtenberg,Verkehrsverbund Berlin-Brandenburg,VBB,,DB Netz AG;DB Station&Service AG,station,station,BLO,2,,8010036,yes,Q634247,de:Bahnhof Berlin-Lichtenberg,,,,,,,yes,,,,1881,,,,,,,,,,,,,,,,Berlin,22,10317,Weitlingstraße,549,DB Open Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4961404 52.5097832)
node,29833469,,,Bayerischer Platz,,,,,station,station,,,subway,,yes,Q668574,de:U-Bahnhof Bayerischer Platz,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3405436 52.4885755)
node,29858596,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/marzahn/103,yes,Marzahn,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Marzahn S-Bahn,DB Netz AG,station,station,BMAZ,4,light_rail,8089075,yes,Q800486,de:Bahnhof Berlin-Marzahn,+49 30 297 43333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5413545 52.5436548)
node,29881358,,yes,Wuhletal,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Wuhletal,DB Netz AG,station,station,BWT,,light_rail,8089049,yes,Q552867,de:Bahnhof Berlin Wuhletal,,timetable,,,,,,,,steht nicht in der Bahnhofskategorieliste von 2017,,,yes,,,,,,,,,,wlan,indoor,no,BKAD,,,,,,,+49 30 29743333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/wuhletal/166,File:U-Bahnhof Wuhletal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5752134 52.5126122)
node,29918297,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/mahlsdorf/101,yes,Mahlsdorf,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Mahlsdorf,DB Netz AG,station,station,BMDF,4,light_rail,8089072,yes,Q800484,de:Bahnhof Berlin-Mahlsdorf,+49 30 29743333,timetable,,,,,,,,,,,,,,,,,,,,,,indoor,,,,,,,,,,,,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.6104126 52.5120903)
node,30019733,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/rathaus-steglitz/23,yes,Rathaus Steglitz,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Rathaus Steglitz,DB Netz AG,station,station,BRST,4,light_rail,8089036,yes,Q555492,de:Bahnhof Berlin Rathaus Steglitz,+49 30 297 43333,,,,,,,,,mangels Weichen nur ein Haltepunkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3224998 52.4555293)
node,30688290,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/hohenschoenhausen/79,yes,Hohenschönhausen,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Hohenschönhausen S-Bahn,DB Netz AG,station,station,BHH,3,light_rail,8011901,yes,Q800477,de:Bahnhof Berlin-Hohenschönhausen,,realtime,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S Hohenschönhausen Bhf (Berlin),Rampe kein WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5124988 52.5662755)
node,30688292,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/wartenberg/156,yes,Wartenberg,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Wartenberg,DB Station&Service AG,station,station,BWAB,5,light_rail,8089093,yes,Q2784530,en:Wartenberg station,+49 30 297 43333,realtime,no,,,,,,,,,,,,,,,,,,,,,,,BHH,,,,,,,,,,,S Wartenberg (Berlin),Rampen City WC: Ausgang Egon-Erwin-Kisch Str.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5038322 52.572982)
node,30739613,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/marienfelde/102,yes,Marienfelde,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Marienfelde,DB Netz AG,station,station,BMF,5,light_rail,8089074,no,Q800485,de:Bahnhof Berlin-Marienfelde,+49 30 297 43333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3746844 52.4242122)
node,31048718,,,Hermannstraße,,,,,station,station,,,subway,,yes,Q21235258,de:Bahnhof Berlin Hermannstraße,,,,,,,,,,,,no,yes,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4314659 52.4672622)
node,31207787,,,Bismarckstraße,,,,,station,station,,,subway,,yes,Q686132,de:U-Bahnhof Bismarckstraße,,,,,,,,,,,,,yes,,,,yes,Sparkasse,,,,,,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3052393 52.5115148)
node,31207789,,,Richard-Wagner-Platz,,,,,station,station,,,subway,,yes,Q662201,de:U-Bahnhof Richard-Wagner-Platz,,,,,,,,,,,,,yes,,,,yes,Bankhaus Lenz,,,2022-11-06,,,indoor,,,,,,,,,,,,,,Seit 01.07.2014 hat der Bahnhof einen Fahrstuhl Mittelinsel R Wagner Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.306588 52.517387)
node,76474606,,,Eisenacher Straße,,,,,station,station,,,subway,,yes,Q571170,de:U-Bahnhof Eisenacher Straße,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3501694 52.4895529)
node,107606908,,,Rathaus Reinickendorf,,,,,station,station,,,subway,,yes,Q554477,de:U-Bahnhof Rathaus Reinickendorf,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3259254 52.5883733)
node,129730678,,,Südstern,,,,,station,station,,,subway,,yes,Q656081,de:U-Bahnhof Südstern,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4076671 52.4892983)
node,174817813,,,Yorckstraße,,,,,station,station,,,subway,,yes,Q543907,de:Bahnhof Berlin Yorckstraße,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3706891 52.4929715)
node,193661797,,,Friedrichsfelde,,,,Berliner Verkehrsbetriebe,station,station,,,subway,,yes,Q429781,de:U-Bahnhof Friedrichsfelde,,,,,,,,,,,,,yes,,,,,,BVG,,,,,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5128387 52.5061644)
node,254087661,,,Berlin-Charlottenburg,,,,DB Station&Service AG,station,station,BCHB,3,,8010403,limited,Q702596,de:Bahnhof Berlin-Charlottenburg,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3026447 52.5043157)
node,259845849,,,Gneisenaustraße,,,U-Bahnhof Gneisenaustraße,,station,station,,,subway,,no,Q668618,de:U-Bahnhof Gneisenaustraße,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,http://wheelmap.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3958247 52.4912895)
node,261941954,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/treptower-park/152,yes,Treptower Park,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Treptower Park,DB Netz AG,station,station,BTP,4,light_rail,8089043,yes,Q559274,de:Bahnhof Berlin Treptower Park,,realtime,no,,,,,,,,,,,,,,,,,,,,,indoor,,BOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4618296 52.4938491)
node,266962352,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/olympiastadion/111,yes,Olympiastadion,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Olympiastadion,DB Netz AG;DB Station&Service AG,station,station,BOLS,3,light_rail,8089330,yes,Q800506,de:Bahnhof Berlin Olympiastadion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.242828 52.5112644)
node,267379240,,,Berlin Südkreuz,,,,DB Netz AG;DB Station&Service AG,station,station,BPAF,1,,,yes,Q376589,de:Bahnhof Berlin Südkreuz,,,,,,,yes,,,Für den Personenverkehr benutzt die Bahn in der Regel das Kürzel BPAF und nicht BSKR oder BSKV.,,yes,,,,,,,,,,,,,,,,,,,4859,,,,,,,WC für Rollifahrer befindet sich links vom Eingang und ist gut ausgeschildert,,Berlin Papestraße,https://www.bahnhof.de/berlin-suedkreuz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3660396 52.4765716)
node,316021790,,,Kaiserdamm,,,,,station,station,,,subway,,yes,Q656409,de:U-Bahnhof Kaiserdamm,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2831263 52.5100921)
node,316785013,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/schoenhauser-allee/135,yes,Schönhauser Allee,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Schönhauser Allee,DB Netz AG,station,station,BSAL,4,light_rail,8089039,yes,Q571403,de:Bahnhof Berlin Schönhauser Allee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q315451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4155955 52.549243)
node,348348641,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/friedrichshagen/58,yes,Friedrichshagen,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Friedrichshagen,DB Netz AG,station,station,BFRH,4,light_rail,8089060,yes,Q800474,de:Bahnhof Berlin-Friedrichshagen,,,,,,Q315451,yes,,,,,,,,,,,,,,,,no,indoor,,,,,,,,,,,,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.6232934 52.4573763)
