element,id,contact:website,light_rail,name,network,network:short,official_name,operator,public_transport,railway,railway:ref,railway:station_category,station,uic_ref,wheelchair,wikidata,wikipedia,contact:phone,departures_board,departures_board:speech_output,description,ref,network:wikidata,train,uic_name,loc_name,note,start_date,toilets:wheelchair,subway,image,source,line,atm,atm:operator,operator:short,operator:wikidata,check_date:wheelchair,level,internet_access,surveillance,internet_access:fee,railway:ref:parent,addr:city,addr:housenumber,addr:postcode,addr:street,ref:station,source:address,phone,website,wikimedia_commons,surveillance:type,name:VBB,wheelchair:description,wheelchair:source,old_name,url,not:network:wikidata,layer,site,short_name,alt_name,postal_code,usage,name:ja,platforms,note:old_name,fixme,heritage,heritage:operator,lda:criteria,ref:lda,description:ar,description:de,description:en,description:es,description:fr,description:ja,description:nl,description:ru,iata,name:be,name:de,name:el,name:en,name:es,name:fr,name:hu,name:it,name:nl,tactile_paving,old_name:1958-05-31--1961,old_name:1961--1974-11,old_name:1974-11--2003-01-06,location,description:old_name,source:old_name,internet_access:ssid,shelter,name:ko,name:ru,ref_name,geometry
node,353664768,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/wuhlheide/170,yes,Wuhlheide,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Wuhlheide (S-Bahn),DB Netz AG,station,station,BWHH,5,light_rail,8089097,yes,Q800514,de:Bahnhof Berlin Wuhlheide,+49 30 297 43333,,,,,,,Berlin-Wuhlheide,,,,,,,,,,,,,,,,,,BKPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5543359 52.4685507)
node,455501170,,,Berlin-Wannsee,,,,DB Netz AG,station,station,BWS,2,,8010405,yes,Q567336,de:Bahnhof Berlin-Wannsee,,,,,,,yes,,,,1874-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.1800603 52.421199)
node,459277140,,,Berlin Gesundbrunnen,Verkehrsverbund Berlin-Brandenburg,,Berlin-Gesundbrunnen,DB Station&Service AG,station,station,BGS,1,,8011102,yes,Q678286,de:Bahnhof Berlin Gesundbrunnen,,realtime,no,,,,yes,,,Der Fernbahn-Teil des Bahnhofs ist ein betrieblich eigenständiger Bahnhof und hat daher einen eigenen Node mit railway=station!,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,https://www.bahnhof.de/berlin-gesundbrunnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3902169 52.5486453)
node,523045806,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/karlshorst/87,yes,Karlshorst,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Karlshorst S-Bahn,DB Netz AG,station,station,BKLH,3,light_rail,8010035,yes,Q464170,de:Bahnhof Berlin-Karlshorst,+49 30 297 43333,,,,,Q315451,yes,Berlin-Karlshorst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.527279 52.4804671)
node,523045813,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/koepenick/92,yes,Köpenick,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Köpenick S-Bahn,DB Netz AG,station,station,BKPK,4,light_rail,8089069,yes,Q800479,de:Bahnhof Berlin-Köpenick,+49 30 297 43333,,,,,,,,,,,yes,,,,,,,,,,,no,indoor,,,,,,,,,,,,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5815192 52.458577)
node,530812080,,,Berlin Friedrichstraße,,,,,station,station,BFRI,2,,8011306,limited,Q702402,de:Bahnhof Berlin Friedrichstraße,,,,,,,yes,,,"railway:ref=BFRI für Fernbahn, BFST für S-Bahn oben, BFSTT für S-Bahn unten (vgl. wiki)",1882-02-07,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3869884 52.5201744)
node,557830030,,,Elsterwerdaer Platz,,,,,station,station,,,subway,,yes,Q551802,de:U-Bahnhof Elsterwerdaer Platz,,,,,,,,,,,,,yes,,,,,,,,,,wlan,indoor,,,,,,,,,,,,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.560878 52.5052929)
node,557840857,,,Biesdorf-Süd,,,,,station,station,,,subway,,yes,Q551805,de:U-Bahnhof Biesdorf-Süd,,,,,,,,,,,,,yes,,,,,,,,,,,indoor,,,,,,,,,,,,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5465321 52.4996047)
node,614445865,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/wedding/175,yes,Wedding,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Wedding (S-Bahn),DB Station&Service AG,station,station,BWED,4,light_rail,8089131,yes,Q638604,,+49 30 297 43333,no,,,,Q315451,yes,Berlin-Wedding,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3669996 52.5427866)
node,670704950,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/halensee/69,yes,Halensee,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Halensee S-Bahn,DB Station&Service AG,station,station,BHAL,4,light_rail,8089109,yes,Q800476,de:Bahnhof Berlin-Halensee,+49 30 297 43333,,,,,,,Berlin-Halensee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2905555 52.4960247)
node,670801913,,yes,Ostkreuz,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Ostkreuz (S-Bahn),DB InfraGO AG,station,station,BOKS,3,light_rail,8089028,yes,Q660045,de:Bahnhof Berlin Ostkreuz,,realtime,no,,,Q315451,yes,Berlin Ostkreuz (S),,Bitte die 5 Nodes mit uic_ref in Bezug auf das Eisenbahn-Tagging so lassen und auch die Position nicht verändern. Die beiden Stadtbahn-Nodes BOKS und BOKR werden gerendert.,,yes,,,,,,,,,,,,indoor,,BOSB,,,,,4809,,,,,camera,,,,,,,,Bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4695776 52.5031523)
node,1095078202,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/suedkreuz/119,yes,Südkreuz (Ringbahn),Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Südkreuz (Ringbahn),DB Netz AG;DB Station&Service AG,station,station,BSKR,1,light_rail,8089073,yes,Q376589,de:Bahnhof Berlin Südkreuz,+49 30 297 43333,realtime,no,,,,,Berlin Südkreuz (S),,Für den Personenverkehr benutzt die Bahn in der Regel das Kürzel BPAF und nicht BSKR oder BSKV.,,yes,,,,,,,,,,,,,,,,,,,4859,,,,,,,WC für Rollifahrer befindet sich links vom Eingang und ist gut ausgeschildert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3650726 52.4759806)
node,1127966981,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/gesundbrunnen/62,yes,Gesundbrunnen,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Gesundbrunnen S-Bahn,DB Station&Service AG,station,station,BGB,1,light_rail,8089015,yes,Q678286,de:Bahnhof Berlin Gesundbrunnen,+49 30 297 43333,realtime,no,,,,yes,Berlin Gesundbrunnen(S),,Der S-Bahn-Teil des Bahnhofs ist ein betrieblich eigenständiger Bahnhof und hat daher einen eigenen Node mit railway=station!,,,no,,,,,,,,,-1,wlan,,,,,,,,,,,,,,,,,S Nordkreuz,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3900758 52.5491748)
node,1351158702,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/zoologischer-garten/169,yes,Zoologischer Garten,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Zoologischer Garten S-Bahn,DB Netz AG;DB Station&Service AG,station,station,BZOS,2,light_rail,8010406,yes,Q681785,de:Bahnhof Berlin Zoologischer Garten,+49 30 297 43333,,,,,,,Berlin Zoologischer Garten,Bahnhof Zoo,"S-Bahn-Bahnhof ist eigenständiger Bahnhof, daher zwei Bahnhöfe hier!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.331868 52.5071378)
node,1390287336,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/feuerbachstrasse/11,yes,Feuerbachstraße,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Feuerbachstraße,DB Netz AG,station,station,BFB,5,light_rail,8089012,yes,Q800501,de:Bahnhof Berlin Feuerbachstraße,+49 30 297 43333,,,,,,,Berlin Feuerbachstr.,,mangels Weichen nur ein Haltepunkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3326994 52.463673)
node,1498939809,,,Rosenthaler Platz,,,U-Bahnhof Rosenthaler Platz,,station,station,,,subway,,yes,Q663231,de:U-Bahnhof Rosenthaler Platz,,,,,,,,,,,,,yes,,,,yes,Bankhaus Lenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,U Rosenthaler Platz,10119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4011206 52.5298999)
node,1731759740,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/schlachtensee/4,yes,Schlachtensee,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Schlachtensee,DB Netz AG,station,station,BSLS,4,light_rail,8089085,yes,Q800509,de:Bahnhof Berlin-Schlachtensee,+49 30 297 43333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2154373 52.440088)
node,1870089918,,,Buckower Damm,,,,,station,station,,,miniature,,limited,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4299672 52.4290685)
node,1871042745,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/tempelhof/150,yes,Tempelhof,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Tempelhof S-Bahn,DB Netz AG;DB Station&Service AG,station,station,BTHF,4,light_rail,8089090,yes,Q571405,de:Bahnhof Berlin-Tempelhof,,realtime,no,,,,,Berlin-Tempelhof,,,,,,,,,,,,,,,,,,,,,,,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3844457 52.4709704)
node,1894165224,,,Kalenderplatz,,,,,station,station,,,miniature,,limited,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4217208 52.4364063)
node,1947340096,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/nordbahnhof/109,yes,Nordbahnhof,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Nordbahnhof,DB Netz AG;DB Station&Service AG,station,station,BNB,4,light_rail,8089024,no,Q673721,de:Berlin Nordbahnhof,+49 30 297 43333,realtime,no,,,Q315451,yes,,,,,,,,,,,,,,,,,,,,,,,,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3878392 52.5322749)
node,2102139395,,,Gleisdreieck,,,,,station,station,,,subway,,yes,Q678372,de:U-Bahnhof Gleisdreieck,,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3740318 52.4995261)
node,2134525648,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/oranienburger-strasse/113,yes,Oranienburger Straße,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Oranienburger Straße,DB Netz AG,station,station,BORS,4,light_rail,8089027,yes,Q480249,de:Bahnhof Berlin Oranienburger Straße,,,,,,Q315451,yes,,,,,,,,,,,,,,,,,,,BNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3930145 52.5252246)
node,2459919675,,,Berlin Hauptbahnhof (tief),,,Berlin Hauptbahnhof - Lehrter Bahnhof,DB Netz AG,station,station,BL,1,,8098160,yes,Q1097,de:Berlin Hauptbahnhof,,,,,,,yes,Berlin Hauptbahnhof (tief),,"""Dummy""-Node für die Betriebsstellenbezeichnung (DS100) der unteren acht Ferngleise; wird unter anderem für die OpenRailwayMap benötigt; name ist ein ""educated"" guess",2006-05-28,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,Berlin Hbf (tief),,,,ベルリン中央駅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.369861 52.5246361)
node,2461322542,,,Gesundbrunnen,,,,,station,station,,,subway,,yes,,,,realtime,no,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3883057 52.5488223)
node,2567991414,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/bornholmer-strasse/45,yes,Bornholmer Straße,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Bornholmer Straße,DB Netz AG;DB Station&Service AG,station,station,BBOS,4,light_rail,8089008,yes,Q32662318,de:Bahnhof Berlin Bornholmer Straße,+49 30 297 43333,,,,,,,Berlin Bornholmer Str.,,,,,,,,,,,,,,,wlan,indoor,,,,,,,791,,,,,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3978451 52.5547713)
node,2568010568,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/alt-reinickendorf/27,yes,Alt-Reinickendorf,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Alt Reinickendorf,DB Netz AG,station,station,BARF,5,light_rail,8089103,limited,Q800496,de:Bahnhof Berlin Alt-Reinickendorf,+49 30 297 43333,,,,,Q315451,yes,Berlin Alt-Reinickendorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3512427 52.5777843)
node,2568020195,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/tegel/149,yes,Tegel,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Tegel,DB Netz AG;DB Station&Service AG,station,station,BTG,5,light_rail,8089089,yes,Q800493,de:Bahnhof Berlin-Tegel,+49 30 297 43333,,,,,,,Berlin-Tegel (S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2896968 52.5881913)
node,2613268560,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/buckower-chaussee/47,yes,Buckower Chaussee,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Buckower Chaussee,DB Netz AG,station,station,BBCH,5,light_rail,8089010,yes,Q800499,de:Bahnhof Berlin Buckower Chaussee,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3827559 52.4105417)
node,2634929378,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/heiligensee/73,yes,Heiligensee,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Heiligensee,DB Netz AG,station,station,BHLS,4,light_rail,8089025,yes,Q800475,de:Bahnhof Berlin-Heiligensee,,,,,BHLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.229194 52.6246647)
node,2808272930,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/schoeneberg/13,yes,Schöneberg,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Schöneberg (Vorortbahn),DB Netz AG;DB Station&Service AG,station,station,BSGV,4,light_rail,8089474,no,Q543855,de:Bahnhof Berlin-Schöneberg,+49 30 297 43333,timetable,,,,,,Berlin-Schöneberg,,Für den Personenverkehr benutzt die Bahn in der Regel das Kürzel BSGR und nicht BSGV.,,,,,,,,,,,,1,,,,,,,,,558,,,https://www.bahnhof.de/bahnhof-de/bahnhof/Schoeneberg-1025752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3519181 52.4793491)
node,2837556546,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/ostbahnhof/115,yes,Ostbahnhof,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Ostbahnhof S-Bahn,DB Station&Service AG,station,station,BOSB,1,light_rail,8010255,limited,Q683239,de:Berlin Ostbahnhof,,,,,,,,Berlin Ostbahnhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4351709 52.5107448)
node,2909563126,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/blankenburg/42,yes,Blankenburg,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Blankenburg S-Bahn,DB Netz AG,station,station,BBLB,4,light_rail,8089056,yes,Q800469,de:Bahnhof Berlin-Blankenburg,+49 30 297 43333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4434822 52.5914655)
node,2924245392,,,Wedding,,,,,station,station,,,subway,,yes,Q638604,de:Bahnhof Berlin-Wedding,,realtime,no,,,,,,,,,,yes,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3650375 52.5430625)
node,2974219763,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/stresow/177,yes,Stresow,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Stresow,DB Netz AG,station,station,BSRW,5,light_rail,8089053,yes,Q800491,de:Bahnhof Berlin-Stresow,+49 30 297 43333,realtime,no,,,,,,,"""Berlin-Stresow"" ist die offizielle Betriebsstellenbezeichnung",,,,,,,,,,,,,,,,BSPA,,,,,,,,,,,,,,,,,,,,,,,,,Berlin-Spandau bzw. 1911-1936 Spandau (Hbf.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2093454 52.5319419)
node,3092283379,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/frohnau/60,yes,Frohnau,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Frohnau,DB Netz AG,station,station,BFOH,4,light_rail,8089061,yes,Q800472,de:Bahnhof Berlin-Frohnau,+49 30 297 43333,,,S Frohnau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2902205 52.632409)
node,3092447211,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/waidmannslust/154,yes,Waidmannslust,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Waidmannslust,DB Netz AG,station,station,BWAI,4,light_rail,8089092,yes,Q800492,de:Bahnhof Berlin-Waidmannslust,+49 30 297 43333,,,S Waidmannslust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.321194 52.6062718)
node,3101920259,,,Berlin-Spandau,,,,DB Netz AG,station,station,BSPD,2,,8010404,yes,Q654980,de:Bahnhof Berlin-Spandau,,,,,,,yes,,,,1910-07-15,yes,,,,,,,,,,,,,,,,,,,,,,,Category:Bahnhof Berlin-Spandau,,,,,,https://www.bahnhof.de/berlin-spandau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.1956287 52.5347694)
node,3154117524,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/schoenholz/136,yes,Schönholz,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Schönholz S-Bahn,DB Netz AG,station,station,BSNH,4,light_rail,8089087,yes,Q800490,de:Bahnhof Berlin-Schönholz,+49 30 297 43333,realtime,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3809904 52.5715004)
node,3234856203,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/attilastrasse/29,yes,Attilastraße,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Attilastraße,DB Netz AG,station,station,BATS,5,light_rail,8089003,yes,Q800497,de:Bahnhof Berlin Attilastraße,+49 30 297 43333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3607503 52.4480308)
node,3352091173,,,Stadtmitte,,,,,station,station,,,subway,,yes,Q660066,de:U-Bahnhof Stadtmitte,,,,,,,,,U Stadtmitte,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3896554 52.5120808)
node,3419894993,,,Berlin Ostbahnhof,DBUS,,,DB Station&Service AG,station,station,BHF,1,,8010255,yes,Q683239,de:Berlin Ostbahnhof,,,,,,,yes,,,der Fernbahnteil und die S-Bahn-Station sind zwei eigenständige Bahnhöfe im gleichen Gebäude!,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berlin Schlesischer Bahnhof;Berlin (Ost) Hauptbahnhof,https://www.bahnhof.de/berlin-ostbahnhof,,,,Berlin Ostbf,,,,ベルリン・東駅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4349112 52.5103817)
node,3508654676,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/altglienicke/28,yes,Altglienicke,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Altglienicke,DB Netz AG,station,station,BAGL,5,light_rail,8089054,yes,Q4736651,de:Bahnhof Berlin-Altglienicke,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5582554 52.4069533)
node,3508654679,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/gruenau/65,yes,Grünau,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Grünau S-Bahn,DB Netz AG;DB Station&Service AG,station,station,BGAS,4,light_rail,8089063,yes,Q324777,de:Bahnhof Berlin-Grünau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,,,,,,,,,,,,,,Bln-Grünau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5736378 52.4128789)
node,3508654680,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/schoeneweide/133,yes,Schöneweide,Verkehrsverbund Berlin-Brandenburg,VBB,Berlin-Schöneweide S-Bahn,DB Netz AG,station,station,BSW,3,light_rail,8089168,yes,Q540899,de:Bahnhof Berlin-Schöneweide,+49 30 297 43333,,,,,,,Berlin-Schöneweide (S),,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,Berlin-Schöneweide S-Bahn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.5097653 52.4549058)
