element,id,contact:phone,contact:website,internet_access,light_rail,name,network,network:short,note,official_name,operator,public_transport,railway,railway:ref,railway:station_category,station,uic_ref,wheelchair,wikidata,wikipedia,geometry
node,21385751,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/storkower-strasse/142,no,yes,Storkower Straße,Verkehrsverbund Berlin-Brandenburg,VBB,mangels Weichen nur ein Haltepunkt,Berlin Storkower Straße,DB Netz AG,station,halt,BSTO,4.0,light_rail,8089041.0,yes,Q800512,de:Bahnhof Berlin Storkower Straße,POINT (13.4648885 52.5237432)
node,21487225,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/jannowitzbruecke/84,,yes,Jannowitzbrücke,Verkehrsverbund Berlin-Brandenburg,VBB,"mangels Weichen ist das ein Haltepunkt, kein Bahnhof",Berlin Jannowitzbrücke,DB Netz AG,station,halt,BJB,4.0,light_rail,8089019.0,yes,Q1647893,de:Bahnhof Berlin Jannowitzbrücke,POINT (13.4194925 52.5142146)
node,26904717,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/heerstrasse/70,,yes,Heerstraße,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Heerstraße,DB Netz AG,station,halt,BHST,5.0,light_rail,8089329.0,yes,Q800502,de:Bahnhof Berlin Heerstraße,POINT (13.2598587 52.5078537)
node,26969275,+49 30 29743333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/hohenzollerndamm/80,,yes,Hohenzollerndamm,Verkehrsverbund Berlin-Brandenburg,VBB,mangels Weichen ist das nur ein Haltepunkt!,Berlin Hohenzollerndamm,DB Netz AG,station,halt,BHO,4.0,light_rail,8089108.0,yes,Q800503,de:Bahnhof Berlin Hohenzollerndamm,POINT (13.3002415 52.488627)
node,27528155,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/bellevue/32,,yes,Bellevue,Verkehrsverbund Berlin-Brandenburg,VBB,Die S-Bahn-Station hat keine Weichen und ist daher ein Haltepunkt.,Berlin Bellevue,DB Netz AG,station,halt,BBEV,4.0,light_rail,8089005.0,yes,Q374018,de:Bahnhof Berlin Bellevue,POINT (13.3480704 52.519985)
node,29030440,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/messe-sued-eichkamp/51,,yes,Messe Süd (Eichkamp),Verkehrsverbund Berlin-Brandenburg,VBB,"ohne Weichen, als nur Haltepunkt, kein Bahnhof (railway=halt)",Berlin Messe Süd,DB Netz AG,station,halt,BMS,5.0,light_rail,8089328.0,yes,Q800504,de:Bahnhof Berlin Messe Süd,POINT (13.2702326 52.4986377)
node,29807251,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/friedrichsfelde-ost/57,no,yes,Friedrichsfelde Ost,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin-Friedrichsfelde Ost,DB Netz AG,station,halt,BFFO,4.0,light_rail,8089059.0,yes,Q800473,de:Bahnhof Berlin-Friedrichsfelde Ost,POINT (13.520088 52.5141126)
node,29858001,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/poelchaustrasse/123,,yes,Poelchaustraße,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Poelchaustraße,DB Netz AG,station,halt,BPOE,5.0,light_rail,8089031.0,yes,Q2180548,en:Berlin Poelchaustraße station,POINT (13.5355776 52.5358712)
node,29858158,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/raoul-wallenberg-strasse/128,,yes,Raoul-Wallenberg-Straße,Verkehrsverbund Berlin-Brandenburg,VBB,mangels Weichen nur ein Haltepunkt,Berlin Raoul-Wallenberg-Straße,DB Netz AG,station,halt,BRW,5.0,light_rail,8089035.0,yes,Q2150651,de:Bahnhof Berlin Raoul-Wallenberg-Straße,POINT (13.5475595 52.5507334)
node,29858448,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/mehrower-allee/104,,yes,Mehrower Allee,Verkehrsverbund Berlin-Brandenburg,VBB,mangels Weichen nur ein Haltepunkt,Berlin Mehrower Allee,DB Netz AG;DB Station&Service AG,station,halt,BMEA,5.0,light_rail,8089022.0,yes,Q1973570,de:Bahnhof Berlin Mehrower Allee,POINT (13.5535509 52.557608)
node,29919745,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/hirschgarten/77,no,yes,Hirschgarten,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin-Hirschgarten,DB Netz AG,station,halt,BHI,5.0,light_rail,8089065.0,no,Q4892435,de:Bahnhof Berlin-Hirschgarten,POINT (13.6031386 52.4579033)
node,29921519,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/spindlersfeld/140,,yes,Spindlersfeld,Verkehrsverbund Berlin-Brandenburg,VBB,Die S-Bahn-Station hat keine Weichen und ist daher ein Haltepunkt.,Berlin-Spindlersfeld,DB Netz AG,station,halt,BSPF,5.0,light_rail,8089088.0,yes,Q4892371,,POINT (13.5615738 52.4468976)
node,30217208,,,wlan,,Berlin Alexanderplatz,Verkehrsverbund Berlin-Brandenburg,,"Berlin Alexanderplatz (Fernbahngleise) ist von der S-Bahn-Station unabhängig und nur ein Haltepunkt, da es keine einzige Weiche gibt.",,DB Netz AG,station,halt,BALE,3.0,,8089001.0,yes,Q698497,de:Bahnhof Berlin Alexanderplatz,POINT (13.4110794 52.5214574)
node,30353086,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/brandenburger-tor/153,,yes,Brandenburger Tor,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Brandenburger Tor,DB Netz AG,station,halt,BTOR,4.0,light_rail,8089044.0,no,Q477185,de:Bahnhof Berlin Brandenburger Tor,POINT (13.3818418 52.5164415)
node,34666754,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/westkreuz/159,,yes,Westkreuz,Verkehrsverbund Berlin-Brandenburg,VBB,Für den Personenverkehr benutzt die Bahn in der Regel das Kürzel BWKR und nicht BWKRR oder BWKR.,Berlin Westkreuz (Ringbahn),DB Netz AG,station,halt,BWKRR,3.0,light_rail,8089047.0,yes,Q678125,de:Bahnhof Berlin Westkreuz,POINT (13.2839193 52.5007919)
node,111541810,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/julius-leber-bruecke/183,,yes,Julius-Leber-Brücke,Verkehrsverbund Berlin-Brandenburg,VBB,mangels Weichen nur ein Haltepunkt,Berlin Julius-Leber-Brücke SB,DB Netz AG,station,halt,BJLB,5.0,light_rail,8089537.0,yes,Q319809,de:Bahnhof Berlin Julius-Leber-Brücke,POINT (13.3611679 52.4865053)
node,143788468,,,,,Albrechtshof,,,"Das ist ein Haltepunkt, kein Bahnhof, da keine Weichen vorhanden. Siehe auch § 4 Abs. 2 EBO.",Berlin-Albrechtshof,DB Netz AG,station,halt,BAS,5.0,,8080040.0,yes,Q800470,de:Bahnhof Berlin-Albrechtshof,POINT (13.1292803 52.5493097)
node,257981401,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/frankfurter-allee/55,no,yes,Frankfurter Allee,Verkehrsverbund Berlin-Brandenburg,VBB,Die S-Bahn-Station hat keine Weichen und ist daher ein Haltepunkt.,Berlin Frankfurter Allee S-Bahn,DB Netz AG,station,halt,BFA,4.0,light_rail,8089013.0,yes,Q552872,de:Bahnhof Berlin Frankfurter Allee,POINT (13.4745707 52.5149375)
node,268680429,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/schulzendorf-b-tegel/137,,yes,Schulzendorf (b Tegel),Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin-Schulzendorf,DB Netz AG,station,halt,BSZF,5.0,light_rail,8089000.0,yes,Q800487,de:Bahnhof Berlin-Schulzendorf,POINT (13.2460234 52.6129169)
node,276690989,,,,,Rosengarten,,,,,,station,halt,,,miniature,,limited,,,POINT (13.4121868 52.4323099)
node,276691070,,,,,Heidehof,,,,,,station,halt,,,miniature,,limited,,,POINT (13.4216389 52.4289143)
node,348077013,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/heidelberger-platz/72,,yes,Heidelberger Platz,Verkehrsverbund Berlin-Brandenburg,VBB,mangels Weichen ist das nur ein Haltepunkt!,Berlin Heidelberger Platz,DB Netz AG,station,halt,BHEI,4.0,light_rail,8089112.0,yes,Q302810,de:Bahnhof Berlin Heidelberger Platz,POINT (13.3114364 52.4802953)
node,429354074,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/gruenbergallee/66,,yes,Grünbergallee,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Grünbergallee,DB Station&Service AG,station,halt,BGBA,5.0,light_rail,8089016.0,yes,Q5612896,de:Bahnhof Berlin Grünbergallee,POINT (13.5419036 52.3992998)
node,523959557,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/betriebsbf-rummelsburg/36,,yes,Betriebsbahnhof Rummelsburg,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin-Rummelsburg Betriebsbahnhof,DB Netz AG,station,halt,BRB,4.0,light_rail,8089006.0,yes,Q829009,de:Bahnhof Berlin-Rummelsburg (Betriebsbahnhof),POINT (13.4977302 52.4938868)
node,538255546,,,,,Berlin-Hohenschönhausen,,,,,DB Netz AG,station,halt,BHSH,3.0,,,yes,Q800477,de:Bahnhof Berlin-Hohenschönhausen,POINT (13.5122261 52.5661794)
node,601524061,,,,,Berlin Jungfernheide,,,"Berlin Jungfernheide (Fernbahn) ist nur ein Haltepunkt, die Weichen gehören in östlicher Richtung bilden einen eigenständigen Betriebsbahnhof (siehe Signale)",Berlin Jungfernheide,DB InfraGO AG,station,halt,BJUF,4.0,,,,Q567079,de:Bahnhof Berlin Jungfernheide,POINT (13.2996666 52.5302785)
node,610324733,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/savignyplatz/131,,yes,Savignyplatz,Verkehrsverbund Berlin-Brandenburg,VBB,"Haltepunkt, das der westliche Gleiswechel schon zum Bahnhof Charlottenburg gehört.",Berlin Savignyplatz,DB Netz AG;DB Station&Service AG,station,halt,BSAP,4.0,light_rail,8089037.0,yes,Q554382,de:Bahnhof Berlin Savignyplatz,POINT (13.3190659 52.5051746)
node,670704963,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/innsbrucker-platz/83,,yes,Innsbrucker Platz,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Innsbrucker Platz,DB Netz AG;DB Station&Service AG,station,halt,BIP,4.0,light_rail,8089106.0,yes,Q3799011,de:Bahnhof Berlin Innsbrucker Platz,POINT (13.3415409 52.4781074)
node,1127967053,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/pankow-heinersdorf/118,,yes,Pankow-Heinersdorf,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin-Pankow-Heinersdorf,DB Netz AG,station,halt,BPHD,5.0,light_rail,8089081.0,yes,Q4892366,de:Bahnhof Berlin-Pankow-Heinersdorf,POINT (13.4295093 52.5780653)
node,1132192014,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/nikolassee/3,,yes,Nikolassee,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin-Nikolassee (Stadtbahn),DB Netz AG,station,halt,BNIS,4.0,light_rail,8089078.0,yes,Q637052,de:Bahnhof Berlin-Nikolassee,POINT (13.1931603 52.432055)
node,1832746710,,,,,Festplatz,,,,,,station,halt,,,miniature,,limited,,,POINT (13.4142029 52.4353786)
node,2432622497,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/messe-nord-icc/164,,yes,Messe Nord/ZOB,Verkehrsverbund Berlin-Brandenburg,VBB,halt statt station da keine Gleise im Stationsbereich,Berlin Messe Nord/ICC,DB Netz AG,station,halt,BMN,4.0,light_rail,8089110.0,yes,Q321266,de:Bahnhof Berlin Messe Nord/ICC,POINT (13.2834702 52.5077057)
node,2465354489,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/sundgauer-strasse/7,,yes,Sundgauer Straße,Verkehrsverbund Berlin-Brandenburg,VBB,mangels Weichen nur ein Haltepunkt,Berlin Sundgauer Straße,DB Station&Service AG,station,halt,BSDG,5.0,light_rail,8089042.0,yes,Q800513,de:Bahnhof Berlin Sundgauer Straße,POINT (13.2742012 52.4364399)
node,2468796165,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/mexikoplatz/5,,yes,Mexikoplatz,Verkehrsverbund Berlin-Brandenburg,VBB,mangels Weichen nur ein Haltepunkt,Berlin Mexikoplatz,DB Netz AG,station,halt,BMEX,4.0,light_rail,8089023.0,yes,Q315891,de:Bahnhof Berlin Mexikoplatz,POINT (13.2332397 52.4367661)
node,2567991413,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/humboldthain/82,,yes,Humboldthain,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Humboldthain,DB Netz AG,station,halt,BHUM,4.0,light_rail,8089018.0,yes,Q481276,de:Bahnhof Berlin Humboldthain,POINT (13.3794684 52.5449517)
node,2568014740,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/karl-bonhoeffer-nervenklinik/86,,yes,Karl-Bonhoeffer-Nervenklinik,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Karl-Bonhoeffer-Nervenklinik,DB Netz AG,station,halt,BKBO,6.0,light_rail,8089102.0,yes,Q475553,de:Bahnhof Berlin Karl-Bonhoeffer-Nervenklinik,POINT (13.3291747 52.578019)
node,2568016351,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/eichborndamm/50,,yes,Eichborndamm,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Eichborndamm,DB Netz AG,station,halt,BEBD,5.0,light_rail,8089101.0,yes,Q800500,de:Bahnhof Berlin Eichborndamm,POINT (13.3166204 52.5776294)
node,2622289345,,,,,Berlin-Lichterfelde Ost,,,,,DB Netz AG,station,halt,BLIH,3.0,,,yes,Q469743,de:Bahnhof Berlin-Lichterfelde Ost,POINT (13.3288225 52.429637)
node,2625828055,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/lankwitz/94,,yes,Lankwitz,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin-Lankwitz,DB Netz AG,station,halt,BLAK,6.0,light_rail,8089114.0,yes,Q800481,de:Bahnhof Berlin-Lankwitz,POINT (13.3420633 52.4387852)
node,2808666091,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/lichterfelde-west/8,,yes,Lichterfelde West,Verkehrsverbund Berlin-Brandenburg,VBB,mangels Weichen nur ein Haltepunkt,Berlin-Lichterfelde West S-Bahn,DB Station&Service AG,station,halt,BLWE,4.0,light_rail,8089071.0,yes,Q800483,de:Bahnhof Berlin-Lichterfelde West,POINT (13.2935862 52.4433056)
node,3092387751,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/hermsdorf/76,,yes,Hermsdorf,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin-Hermsdorf,DB Netz AG,station,halt,BHED,4.0,light_rail,8089064.0,limited,Q263189,de:Bahnhof Berlin-Hermsdorf,POINT (13.3075189 52.6174544)
node,3092585150,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/wittenau/163,,yes,Wittenau,Verkehrsverbund Berlin-Brandenburg,VBB,mangels Weichen nur ein Haltepunkt,Berlin-Wittenau (Wilhelmsruher Damm),DB Netz AG,station,halt,BWIN,4.0,light_rail,8089096.0,yes,Q175212,de:Bahnhof Berlin-Wittenau (Wilhelmsruher Damm),POINT (13.3342591 52.597052)
node,3093801263,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/wilhelmsruh/162,,yes,Wilhelmsruh,Verkehrsverbund Berlin-Brandenburg,VBB,"Mangels Weichen in der Nähe dieser Station handelt es sich um einen Haltepunkt, nicht um einen Bahnhof!",Berlin-Wilhelmsruh,DB Netz AG,station,halt,BWM,4.0,light_rail,8089095.0,yes,Q800495,de:Bahnhof Berlin-Wilhelmsruh,POINT (13.3622403 52.5816944)
node,3140154697,,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/betriebsbf-schoeneweide/37,,yes,Johannisthal,,,,,,station,halt,BSCF,4.0,light_rail,8089007.0,yes,Q4526101,,POINT (13.5235435 52.4469899)
node,3154211735,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/prenzlauer-allee/125,,yes,Prenzlauer Allee,Verkehrsverbund Berlin-Brandenburg,VBB,mangels Weichen nur ein Haltepunkt,Berlin Prenzlauer Allee,DB Station&Service AG,station,halt,BPLA,4.0,light_rail,8089033.0,yes,Q32661483,de:Bahnhof Berlin Prenzlauer Allee,POINT (13.4259805 52.5447901)
node,3493177833,,,,,Berlin Potsdamer Platz,Verkehrsverbund Berlin-Brandenburg,,Diese Station ist betrieblich ein Haltepunkt (railway=halt) und verfügt auch über keine Weichen,Berlin Potsdamer Platz,DB Station&Service AG,station,halt,BPOF,2.0,,8011118.0,yes,Q672579,de:Bahnhof Berlin Potsdamer Platz,POINT (13.3759366 52.5092044)
node,3508654674,,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/adlershof/24,,yes,Adlershof,Verkehrsverbund Berlin-Brandenburg,VBB,"Die S-Bahn-Station hat keine Weichen und ist daher ein Haltepunkt. Operator auf DB S&S geändert da denen die 3S-Nummer gehört und der Bahnhof bei bahnhof.de und in den Open-Data gelistet ist,",Berlin-Adlershof,DB Netz AG;DB Station&Service AG,station,halt,BADL,4.0,light_rail,8089052.0,limited,Q323551,de:Bahnhof Berlin-Adlershof,POINT (13.5415575 52.434735)
node,3515302613,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/koellnische-heide/171,,yes,Köllnische Heide,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Köllnische Heide,DB Station&Service AG,station,halt,BKHD,5.0,light_rail,8089104.0,yes,Q800505,de:Bahnhof Berlin Köllnische Heide,POINT (13.4679658 52.4696457)
node,3515302615,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/oberspree/110,,yes,Oberspree,,,Die S-Bahn-Station hat keine Weichen und ist daher ein Haltepunkt.,Berlin Oberspree,,station,halt,BOSP,6.0,light_rail,,,Q15192700,,POINT (13.538075 52.4524146)
node,3515302616,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/plaenterwald/122,,yes,Plänterwald,Verkehrsverbund Berlin-Brandenburg,VBB,Die S-Bahn-Station hat keine Weichen und ist daher ein Haltepunkt.,Berlin Plänterwald,DB Station&Service AG,station,halt,BPWA,4.0,light_rail,8089030.0,yes,Q7205917,de:Bahnhof Berlin-Plänterwald,POINT (13.4732395 52.4785887)
node,3515302617,,https://sbahn.berlin/fahren/bahnhofsuebersicht/sonnenallee/,,yes,Sonnenallee,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Sonnenallee,DB Station&Service AG,station,halt,BSO,4.0,light_rail,8089327.0,yes,Q481364,de:Bahnhof Berlin Sonnenallee,POINT (13.4556896 52.4729807)
node,3856100106,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/hauptbahnhof/96,,yes,Hauptbahnhof,Verkehrsverbund Berlin-Brandenburg,VBB,Die S-Bahn-Station hat keine Weichen und ist daher ein Haltepunkt.,Berlin Hauptbahnhof - Lehrter Bf S-Bahn,DB Station&Service AG,station,halt,BHBF,1.0,light_rail,8011160.0,yes,Q1097,de:Berlin Hauptbahnhof,POINT (13.3693321 52.5251951)
node,3867910430,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/hackescher-markt/68,,yes,Hackescher Markt,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Hackescher Markt,DB Netz AG,station,halt,BHKM,4.0,light_rail,8089017.0,yes,Q689312,de:Bahnhof Berlin Hackescher Markt,POINT (13.4023418 52.5226808)
node,3899306096,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/yorckstrasse/14,,yes,Yorckstraße,Verkehrsverbund Berlin-Brandenburg,VBB,"Yorckstraße ist ein Haltepunkt, es gibt dort keine einzige Weiche!",Berlin Yorckstraße,DB Station&Service AG,station,halt,BYOR,5.0,light_rail,8089050.0,no,Q543907,de:Bahnhof Berlin Yorckstraße,POINT (13.3721534 52.4920684)
node,3998913024,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/biesdorf/39,no,yes,Biesdorf,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin-Biesdorf,DB Netz AG,station,halt,BBDF,4.0,light_rail,8089055.0,yes,Q4892357,de:Bahnhof Berlin-Biesdorf,POINT (13.5558463 52.5130873)
node,4010887467,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/osdorfer-strasse/114,,yes,Osdorfer Straße,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Osdorfer Straße,DB Station&Service AG,station,halt,BOSS,5.0,light_rail,8089473.0,yes,Q7106446,de:Bahnhof Berlin Osdorfer Straße,POINT (13.3142499 52.4188742)
node,4012502920,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/wilhelmshagen/161,,yes,Wilhelmshagen,Verkehrsverbund Berlin-Brandenburg,VBB,Die S-Bahn-Station hat keine Weichen und ist daher ein Haltepunkt.,Berlin-Wilhelmshagen,DB Netz AG,station,halt,BWIG,5.0,light_rail,8089094.0,no,Q800494,de:Bahnhof Berlin-Wilhelmshagen,POINT (13.7223287 52.4384919)
node,4644994620,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/jungfernheide/85,,yes,Jungfernheide,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Jungfernheide,DB Netz AG,station,halt,BJUN,4.0,light_rail,8089100.0,yes,Q567079,de:Bahnhof Berlin Jungfernheide,POINT (13.299269 52.5304034)
node,4999499312,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/noeldnerplatz/108,no,yes,Nöldnerplatz,Verkehrsverbund Berlin-Brandenburg,VBB,,Berlin Nöldnerplatz,DB Netz AG,station,halt,BNPL,5.0,light_rail,8089026.0,no,Q4892447,en:Berlin Nöldnerplatz station,POINT (13.4853253 52.5038434)
node,5318173096,+49 30 297 43333,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/yorckstrasse-grossgoerschenstrasse/182,,yes,Yorckstraße (Großgörschenstraße),Verkehrsverbund Berlin-Brandenburg,VBB,"Yorckstraße ist ein Haltepunkt, es gibt dort keine einzige Weiche!",Berlin Yorckstraße,DB Station&Service AG,station,halt,BGGS,5.0,light_rail,8089050.0,no,Q543907,de:Bahnhof Berlin Yorckstraße,POINT (13.3678588 52.4922745)
node,7590477122,,,,,Eichgestell,,,,,Berliner Parkeisenbahn,station,halt,,,miniature,,yes,,,POINT (13.552883 52.4597611)
node,7590477151,,,,,Stadion,,,,,Berliner Parkeisenbahn,station,halt,,,miniature,,no,,,POINT (13.5428743 52.4610567)
node,7590477183,,,,,Parkbühne,,,,,Berliner Parkeisenbahn,station,halt,,,miniature,,yes,,,POINT (13.5466629 52.4643313)
node,7867704094,,,,,Haus Natur und Umwelt,,,,,Berliner Parkeisenbahn,station,halt,,,miniature,,no,,,POINT (13.5410655 52.464726)
node,9689554626,,,,,Berlin-Staaken,,,,,DB Netz AG,,halt,,,,,yes,,,POINT (13.1413916 52.5377083)
